entropy	chi^2	limit	3-gram Chi^2	3-gram limit	Size	Termination	File Command
7.99996	287.182	537.027	1021810	1698970	5577296	128-cbc	openssl enc'd data with salted password
7.99996	287.182	537.027	1021810	1698970	5577296	128-cbc	openssl enc'd data with salted password
7.99996	284.767	537.027	1021920	1698970	5577296	128-ecb	openssl enc'd data with salted password
7.99996	284.767	537.027	1021920	1698970	5577296	128-ecb	openssl enc'd data with salted password
7.99997	262.67	537.027	1021800	1698970	5577296	192-cbc	openssl enc'd data with salted password
7.99997	262.67	537.027	1021800	1698970	5577296	192-cbc	openssl enc'd data with salted password
7.99997	233.837	537.027	1020230	1698970	5577296	192-ecb	openssl enc'd data with salted password
7.99997	233.837	537.027	1020230	1698970	5577296	192-ecb	openssl enc'd data with salted password
7.99997	228.127	537.027	1022980	1698970	5577296	256-cbc	openssl enc'd data with salted password
7.99997	228.127	537.027	1022980	1698970	5577296	256-cbc	openssl enc'd data with salted password
7.99997	254.019	537.027	1020290	1698970	5577296	256-ecb	openssl enc'd data with salted password
7.99997	254.019	537.027	1020290	1698970	5577296	256-ecb	openssl enc'd data with salted password
7.99993	248.993	461.875	210024	346376	2586352	gpg	GPG symmetrically encrypted data (AES256 cipher)
7.99999	265.889	997.955	9738880	12724800	29958374	gpg	GPG symmetrically encrypted data (AES256 cipher)
7.55279	148.5	374.688	0	0.942527	463	gpg	PGP RSA encrypted session key - keyid
7.99997	258.85	537.077	1024080	1699950	5579459	gpg	PGP RSA encrypted session key - keyid
7.99993	248.993	461.875	210024	346376	2586352	gpg	GPG symmetrically encrypted data (AES256 cipher)
8	1465.69	4001.04	18199400	142056000	315944882	gpg	GPG symmetrically encrypted data (AES256 cipher)
7.55279	148.5	374.688	0	0.942527	463	gpg	PGP RSA encrypted session key - keyid
7.99997	258.85	537.077	1024080	1699950	5579459	gpg	PGP RSA encrypted session key - keyid
7.99999	265.889	997.955	9738880	12724800	29958374	gpg	GPG symmetrically encrypted data (AES256 cipher)
7.97525	329.5	375.515	2	2.26748	9348	gz	"gzip compressed data, was ""stacktrace.min.js"", last modified"
7.97525	329.5	375.515	2	2.26748	9348	gz	"gzip compressed data, was ""stacktrace.min.js"", last modified"
7.89929	245.429	374.847	0	1.1434	1810	gz	"gzip compressed data, was ""error-stack-parser.min.js"", last modified"
7.26678	226	374.663	0	0.916728	290	nc	data
7.26678	226	374.663	0	0.916728	290	nc	data
7.67773	318.5	374.711	0	0.968474	637	nc	data
7.67773	318.5	374.711	0	0.968474	637	nc	data
7.55907	257	374.701	0	0.95729	562	txt	data
